language,normalized_training_mixture_weight,training_mixture_weight_before_coverage_normalization,training_mixture_percent_before_coverage_normalization,raw_public_count,num_training_entries,groups,entry_ids,represented_training_mixture_weight,weight_semantics
arm left: 3. left instrument: Tool #2 (Pink). arm right: 1. right instrument: Tool #2 (Orange). do a hysterectomy,0.00016945114057635187,0.00016319754299981405,0.016319754299981403,89830,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #1 (Cyan). arm right: 2. right instrument: Tool #13 (Orange). do a hysterectomy,0.00016785151275481398,0.00016165694947355508,0.016165694947355508,88982,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #1 (Blue). arm right: 1. right instrument: Tool #9 (Cyan). do an inguinal hernia repair,0.00016779492214791995,0.00016160244734408837,0.016160244734408837,88952,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #0 (Blue). arm right: 1. right instrument: Tool #9 (Cyan). do a cholecystectomy,0.00016760062773091714,0.00016141532336625268,0.01614153233662527,88849,1,cmr_versius,cmr_versius:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #18 (Orange). arm right: 2. right instrument: Tool #0 (Green). do a prostatectomy,0.0001672856066858737,0.000161111928178888,0.016111192817888798,88682,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #18 (Pink). arm right: -1. right instrument: Tool #3 (None). do an inguinal hernia repair,0.00016671970061693343,0.0001605669068842209,0.016056690688422092,88382,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #2 (Orange). arm right: 1. right instrument: Tool #2 (Pink). do a prostatectomy,0.00016619906703350837,0.0001600654872931272,0.01600654872931272,88106,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #2 (Orange). do a hysterectomy,0.00016610097664822537,0.0001599710169353849,0.01599710169353849,88054,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #13 (Blue). arm right: 3. right instrument: Tool #2 (Pink). do a cholecystectomy,0.0001651445953917163,0.00015904993094739751,0.01590499309473975,87547,1,cmr_versius,cmr_versius:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #9 (Pink). arm right: 2. right instrument: Tool #0 (Purple). do an inguinal hernia repair,0.0001639448745255629,0.0001578944858027033,0.01578944858027033,86911,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #0 (Cyan). arm right: 0. right instrument: Tool #17 (White). do a cholecystectomy,0.00016369776220879234,0.0001576564931706987,0.01576564931706987,86780,1,cmr_versius,cmr_versius:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 3. left instrument: Tool #2 (Pink). arm right: 2. right instrument: Tool #2 (Blue). do a prostatectomy,0.00016343933177064292,0.0001574076001128007,0.01574076001128007,86643,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #9 (Orange). do a prostatectomy,0.00016337519574949634,0.00015734583103273843,0.015734583103273844,86609,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
left tool: mono_hook. right tool: bi_maryland_forceps. aux tool: bi_maryland_forceps. The surgery process is a hemicolectomy 2025-10-10_01.Create the first penetrating hole inside the colon for anastomosis,0.00016312965697009665,0.00015710935386667801,0.0157109353866678,2179,1,rob_surgical_bitrack,rob_surgical_bitrack:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #0 (Cyan). arm right: 1. right instrument: Tool #2 (Green). do an inguinal hernia repair,0.0001622716789150628,0.00015628303950813763,0.015628303950813764,86024,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #0 (Blue). arm right: 1. right instrument: Tool #9 (Orange). do a cholecystectomy,0.00016211133886219638,0.00015612861680798195,0.015612861680798194,85939,1,cmr_versius,cmr_versius:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 3. left instrument: Tool #0 (Cyan). arm right: 1. right instrument: Tool #2 (Pink). do a hysterectomy,0.0001610493218061518,0.00015510579351165672,0.015510579351165671,85376,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #13 (Cyan). arm right: 1. right instrument: Tool #9 (Purple). do a cholecystectomy,0.00016049096115146403,0.0001545680391675852,0.01545680391675852,85080,1,cmr_versius,cmr_versius:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
left tool: forceps. right tool: bi_maryland_forceps. aux tool: bi_maryland_forceps. The surgery process is a hemicolectomy 2025-10-10_01.Suturing,0.000160359671973358,0.0001544415952191025,0.01544415952191025,2142,1,rob_surgical_bitrack,rob_surgical_bitrack:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #12 (Pink). arm right: 3. right instrument: Tool #9 (Cyan). do a hysterectomy,0.00015991750966827124,0.00015401575092232256,0.015401575092232256,84776,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #0 (Blue). arm right: 2. right instrument: Tool #9 (Green). do a cholecystectomy,0.0001593987624384093,0.00015351614806887771,0.015351614806887771,84501,1,cmr_versius,cmr_versius:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #13 (Blue). arm right: 1. right instrument: Tool #2 (Orange). do an inguinal hernia repair,0.0001591724000108332,0.0001532981395510109,0.01532981395510109,84381,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #0 (Blue). arm right: -1. right instrument: Tool #3 (None). do a cholecystectomy,0.0001588366290765953,0.00015297476024950842,0.015297476024950843,84203,1,cmr_versius,cmr_versius:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #2 (Pink). arm right: 2. right instrument: Tool #2 (Green). do a hysterectomy,0.00015869703891292335,0.00015284032166349053,0.015284032166349052,84129,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
perform cold-cut dissection to partially peel skin from the underlying fat layer using non-energy instruments,0.0001586536898555992,0.00015279857240395415,0.015279857240395414,2119,1,jhu_lscr_dvrk_smarts,jhu_lscr_dvrk_smarts:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 3. left instrument: Tool #2 (Pink). arm right: 2. right instrument: Tool #2 (Orange). do a prostatectomy,0.0001578576115773286,0.00015203187340973436,0.015203187340973435,83684,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #9 (Pink). do a hysterectomy,0.00015770670329227787,0.00015188653439782314,0.015188653439782315,83604,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #12 (Pink). arm right: 2. right instrument: Tool #2 (Cyan). do a hysterectomy,0.0001572502057299994,0.0001514468838867917,0.01514468838867917,83362,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #1 (Purple). arm right: 2. right instrument: Tool #9 (Pink). do an inguinal hernia repair,0.0001555562602303048,0.00014981545347808823,0.014981545347808822,82464,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #0 (Blue). arm right: 1. right instrument: Tool #9 (Purple). do a cholecystectomy,0.00015375856528463783,0.00014808410249869577,0.014808410249869577,81511,1,cmr_versius,cmr_versius:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #0 (Pink). arm right: 1. right instrument: Tool #9 (Orange). do a hysterectomy,0.00015302854645570486,0.00014738102502857524,0.014738102502857524,81124,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #13 (Orange). arm right: 2. right instrument: Tool #18 (Blue). do an inguinal hernia repair,0.00015299459209156845,0.00014734832375089523,0.014734832375089523,81106,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #2 (Blue). arm right: 2. right instrument: Tool #2 (Orange). do a hysterectomy,0.00015288895629203295,0.00014724658644255738,0.014724658644255737,81050,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #2 (Pink). arm right: 3. right instrument: Tool #2 (Orange). do a prostatectomy,0.0001528550019278965,0.00014721388516487734,0.014721388516487733,81032,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 3. left instrument: Tool #0 (Green). arm right: 2. right instrument: Tool #2 (Orange). do an inguinal hernia repair,0.00015180807570035697,0.00014620559576974322,0.014620559576974322,80477,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #18 (Cyan). arm right: 1. right instrument: Tool #9 (Orange). do a hysterectomy,0.00015169678084013207,0.00014609840824845872,0.014609840824845871,80418,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #0 (Blue). arm right: 2. right instrument: Tool #2 (Cyan). do an inguinal hernia repair,0.00015147796382680847,0.00014588766668118742,0.014588766668118742,80302,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
left tool: none. right tool: none. aux tool: mono_round_scissors. The surgery process is a hysterectomy.Identification of uterus and ovaries,0.00015137593684880015,0.00014578940501074942,0.014578940501074942,2022,1,rob_surgical_bitrack,rob_surgical_bitrack:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #0 (Blue). arm right: 1. right instrument: Tool #2 (Green). do an inguinal hernia repair,0.00015066305908753447,0.00014510283601686683,0.014510283601686682,79870,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 3. left instrument: Tool #2 (Orange). arm right: 1. right instrument: Tool #2 (Blue). do a prostatectomy,0.0001497236550130936,0.00014419810066771947,0.014419810066771947,79372,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #0 (Orange). arm right: 3. right instrument: Tool #9 (Pink). do a hysterectomy,0.0001492426348544944,0.00014373483256725246,0.014373483256725246,79117,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #2 (Pink). arm right: 1. right instrument: Tool #2 (Blue). do a prostatectomy,0.00014912945364070634,0.00014362582830831905,0.014362582830831905,79057,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #18 (Blue). arm right: 2. right instrument: Tool #2 (Cyan). do a hysterectomy,0.00014854845674326094,0.0001430662731124608,0.01430662731124608,78749,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
left tool: forceps. right tool: bi_maryland_forceps. aux tool: forceps. The surgery process is a hemicolectomy.,0.00014853108739269015,0.0001430495447781043,0.01430495447781043,1984,1,rob_surgical_bitrack,rob_surgical_bitrack:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #18 (Blue). arm right: 1. right instrument: Tool #2 (Cyan). do an inguinal hernia repair,0.00014769393857916113,0.00014224329095751352,0.014224329095751352,78296,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #13 (Orange). do a hysterectomy,0.00014660739892679577,0.00014119685007175272,0.014119685007175272,77720,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #18 (Blue). arm right: 3. right instrument: Tool #9 (Orange). do a prostatectomy,0.00014551142750661477,0.00014014132549774745,0.014014132549774745,77139,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 3. left instrument: Tool #1 (Cyan). arm right: 1. right instrument: Tool #9 (Pink). do a hysterectomy,0.0001449285442556063,0.00013957995356424037,0.013957995356424037,76830,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #0 (Blue). arm right: 2. right instrument: Tool #2 (Green). do an inguinal hernia repair,0.0001434420976478565,0.00013814836429691484,0.013814836429691484,76042,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
left tool: mono_hook. right tool: none. aux tool: bi_maryland_forceps. The surgery process is a hemicolectomy.,0.00014306598185858413,0.00013778612906802283,0.013778612906802283,1911,1,rob_surgical_bitrack,rob_surgical_bitrack:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #2 (Cyan). arm right: 1. right instrument: Tool #2 (Blue). do an inguinal hernia repair,0.0001420839230823998,0.00013684031318971383,0.013684031318971383,75322,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: -1. left instrument: Tool #3 (None). arm right: 3. right instrument: Tool #13 (Orange). do a hysterectomy,0.00014181040181574534,0.00013657688623062474,0.013657688623062474,75177,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #12 (Blue). arm right: 1. right instrument: Tool #9 (Purple). do an inguinal hernia repair,0.00014070499862774865,0.00013551227796837503,0.013551227796837503,74591,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #18 (Pink). arm right: 2. right instrument: Tool #9 (Orange). do a prostatectomy,0.00014042015923971537,0.0001352379505833926,0.013523795058339259,74440,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 3. left instrument: Tool #18 (Pink). arm right: 1. right instrument: Tool #0 (Cyan). do an inguinal hernia repair,0.00013986745764571704,0.00013470564645226777,0.013470564645226777,74147,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
Retract the partially dissected tissue flap using the left instrument (left-side grasp).,0.00013926478999173205,0.00013412522025955354,0.013412522025955354,1860,1,hamlyn_dvrk_30hz,hamlyn_dvrk_30hz:05,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: -1. left instrument: Tool #3 (None). arm right: 3. right instrument: Tool #9 (Green). do a hysterectomy,0.0001391336661096578,0.00013399893550684942,0.013399893550684942,73758,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 3. left instrument: Tool #0 (Green). arm right: 1. right instrument: Tool #9 (Orange). do a prostatectomy,0.00013898841688529643,0.00013385904670788485,0.013385904670788486,73681,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #12 (Orange). arm right: 3. right instrument: Tool #9 (Pink). do a hysterectomy,0.00013885448578231392,0.00013373005833481366,0.013373005833481366,73610,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #13 (Green). arm right: 3. right instrument: Tool #2 (Orange). do a hysterectomy,0.00013849230589819215,0.00013338124470622673,0.013338124470622673,73418,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #13 (Blue). arm right: 1. right instrument: Tool #9 (Green). do an inguinal hernia repair,0.00013767928751248128,0.00013259823077955502,0.013259823077955502,72987,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 3. left instrument: Tool #2 (Orange). arm right: 1. right instrument: Tool #2 (Green). do a prostatectomy,0.00013751894745961485,0.00013244380807939934,0.013244380807939934,72902,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #2 (Orange). arm right: 3. right instrument: Tool #2 (Blue). do a prostatectomy,0.0001374001071851374,0.00013232935360751926,0.013232935360751926,72839,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #0 (Cyan). arm right: -1. right instrument: Tool #3 (None). do an inguinal hernia repair,0.00013675686062010863,0.00013170984606924768,0.013170984606924768,72498,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #0 (Cyan). arm right: 3. right instrument: Tool #9 (Blue). do a prostatectomy,0.00013671536084171963,0.00013166987784097206,0.013166987784097205,72476,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #0 (Orange). arm right: 2. right instrument: Tool #2 (Cyan). do an inguinal hernia repair,0.00013648899841414355,0.00013145186932310527,0.013145186932310527,72356,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #0 (Green). arm right: 1. right instrument: Tool #8 (Orange). do a cholecystectomy,0.0001363777035539186,0.0001313446818018207,0.01313446818018207,72297,1,cmr_versius,cmr_versius:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #0 (Blue). arm right: 2. right instrument: Tool #9 (Cyan). do an inguinal hernia repair,0.00013633997648265593,0.0001313083470488429,0.01313083470488429,72277,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #13 (Blue). arm right: 1. right instrument: Tool #9 (Cyan). do a cholecystectomy,0.00013510818760592927,0.00013012201736411756,0.013012201736411756,71624,1,cmr_versius,cmr_versius:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #2 (Green). arm right: 1. right instrument: Tool #2 (Orange). do a prostatectomy,0.00013496671108869418,0.00012998576204045078,0.012998576204045079,71549,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #2 (Blue). arm right: 1. right instrument: Tool #2 (Purple). do a hysterectomy,0.00013492709766386836,0.0001299476105498241,0.01299476105498241,71528,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #13 (Blue). arm right: 2. right instrument: Tool #2 (Orange). do an inguinal hernia repair,0.0001345007817586,0.00012953702784117488,0.012953702784117489,71302,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 3. left instrument: Tool #18 (Cyan). arm right: 2. right instrument: Tool #8 (Pink). do a hysterectomy,0.00013434044170573359,0.0001293826051410192,0.01293826051410192,71217,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #8 (Green). do a cholecystectomy,0.00013416878353148836,0.00012921728201497018,0.012921728201497017,71126,1,cmr_versius,cmr_versius:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 0. left instrument: Tool #14 (White). arm right: -1. right instrument: Tool #3 (None). do a cholecystectomy,0.000133910353093339,0.00012896838895707223,0.012896838895707223,70989,1,cmr_versius,cmr_versius:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: -1. left instrument: Tool #3 (None). arm right: 1. right instrument: Tool #9 (Cyan). do a hysterectomy,0.00013273515482350635,0.0001278365614018136,0.012783656140181359,70366,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #18 (Cyan). arm right: 2. right instrument: Tool #8 (Pink). do a hysterectomy,0.00013256349664926114,0.0001276712382757646,0.012767123827576459,70275,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #13 (Orange). arm right: 2. right instrument: Tool #9 (Blue). do a cholecystectomy,0.00013244842908190994,0.00012756041727918227,0.012756041727918227,70214,1,cmr_versius,cmr_versius:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #2 (Cyan). arm right: 3. right instrument: Tool #2 (Blue). do a prostatectomy,0.00013199947693388395,0.00012712803371874636,0.012712803371874637,69976,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #0 (Green). arm right: 1. right instrument: Tool #9 (Blue). do a prostatectomy,0.00013171652389941383,0.00012685552307141283,0.012685552307141284,69826,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #0 (Green). arm right: 1. right instrument: Tool #18 (Orange). do a cholecystectomy,0.00013112420888058968,0.0001262850674496613,0.01262850674496613,69512,1,cmr_versius,cmr_versius:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #0 (Pink). arm right: 1. right instrument: Tool #9 (Green). do a hysterectomy,0.00013048096231556088,0.0001256655599113897,0.01256655599113897,69171,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #13 (Green). arm right: 1. right instrument: Tool #8 (Orange). do an inguinal hernia repair,0.00012865497206644689,0.0001239069578672639,0.01239069578672639,68203,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #13 (Orange). arm right: -1. right instrument: Tool #3 (None). do an inguinal hernia repair,0.00012801361185498124,0.0001232892670666412,0.012328926706664122,67863,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 3. left instrument: Tool #18 (Pink). arm right: 1. right instrument: Tool #2 (Cyan). do an inguinal hernia repair,0.0001280004073800393,0.00012327654990309898,0.012327654990309899,67856,1,cmr_versius,cmr_versius:02,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
left tool: mono_hook. right tool: none. aux tool: bi_maryland_forceps. The surgery process is a hemicolectomy 2025-10-10_01.Preparing the colon part for anastomosis,0.00012614661404066678,0.00012149117084229118,0.012149117084229118,1685,1,rob_surgical_bitrack,rob_surgical_bitrack:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 1. left instrument: Tool #0 (Cyan). arm right: -1. right instrument: Tool #3 (None). do a hysterectomy,0.00012607444039207922,0.000121421660763582,0.012142166076358199,66835,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
left tool: mono_hook. right tool: bi_maryland_forceps. aux tool: bi_maryland_forceps. The surgery process is a hemicolectomy InVivo 2.Suturing,0.00012562256282506757,0.00012098645974680392,0.012098645974680392,1678,1,rob_surgical_bitrack,rob_surgical_bitrack:00,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 2. left instrument: Tool #12 (Pink). arm right: -1. right instrument: Tool #3 (None). do a hysterectomy,0.000125397239462914,0.0001207694519476304,0.01207694519476304,66476,1,cmr_versius,cmr_versius:01,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
arm left: 3. left instrument: Tool #0 (Blue). arm right: 2. right instrument: Tool #9 (Orange). do a prostatectomy,0.00012499733250752955,0.00012038430356606565,0.012038430356606565,66264,1,cmr_versius,cmr_versius:03,0.9630949809174046,YAML group mix ratios normalized globally; language proportions estimated from mapped current-public rows within each represented group
