language,num_training_entries_containing_string,entry_ids
arm left: 1. left instrument: Tool #0 (Cyan). arm right: 3. right instrument: Tool #2 (Green). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #0 (Cyan). arm right: 3. right instrument: Tool #2 (Pink). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #0 (Cyan). arm right: 3. right instrument: Tool #9 (Green). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #0 (Cyan). arm right: 3. right instrument: Tool #9 (Pink). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #0 (Green). arm right: -1. right instrument: Tool #3 (None). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #0 (Green). arm right: -1. right instrument: Tool #3 (None). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #0 (Green). arm right: -1. right instrument: Tool #3 (None). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #0 (Green). arm right: -1. right instrument: Tool #3 (None). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #0 (Green). arm right: 0. right instrument: Tool #14 (White). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #0 (Green). arm right: 0. right instrument: Tool #14 (White). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #0 (Green). arm right: 0. right instrument: Tool #17 (White). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #0 (Green). arm right: 0. right instrument: Tool #17 (White). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #0 (Green). arm right: 0. right instrument: Tool #17 (White). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #0 (Green). arm right: 2. right instrument: Tool #18 (Orange). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #0 (Green). arm right: 2. right instrument: Tool #18 (Orange). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #0 (Green). arm right: 2. right instrument: Tool #2 (Blue). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #0 (Green). arm right: 2. right instrument: Tool #2 (Orange). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #0 (Green). arm right: 2. right instrument: Tool #2 (Pink). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #0 (Green). arm right: 2. right instrument: Tool #8 (Blue). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #0 (Green). arm right: 2. right instrument: Tool #8 (Pink). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #0 (Green). arm right: 2. right instrument: Tool #9 (Blue). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #0 (Green). arm right: 2. right instrument: Tool #9 (Cyan). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #0 (Green). arm right: 2. right instrument: Tool #9 (Orange). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #0 (Green). arm right: 2. right instrument: Tool #9 (Orange). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #0 (Green). arm right: 2. right instrument: Tool #9 (Orange). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #0 (Green). arm right: 2. right instrument: Tool #9 (Pink). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #0 (Green). arm right: 3. right instrument: Tool #2 (Cyan). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #0 (Green). arm right: 3. right instrument: Tool #9 (Cyan). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #0 (Green). arm right: 3. right instrument: Tool #9 (Pink). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #0 (Orange). arm right: -1. right instrument: Tool #3 (None). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #0 (Orange). arm right: -1. right instrument: Tool #3 (None). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #0 (Orange). arm right: -1. right instrument: Tool #3 (None). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #0 (Orange). arm right: -1. right instrument: Tool #3 (None). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #0 (Orange). arm right: 0. right instrument: Tool #14 (White). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #0 (Orange). arm right: 0. right instrument: Tool #14 (White). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #0 (Orange). arm right: 2. right instrument: Tool #13 (Blue). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #0 (Orange). arm right: 2. right instrument: Tool #2 (Blue). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #0 (Orange). arm right: 2. right instrument: Tool #2 (Cyan). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #0 (Orange). arm right: 2. right instrument: Tool #2 (Green). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #0 (Orange). arm right: 2. right instrument: Tool #2 (Green). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #0 (Orange). arm right: 2. right instrument: Tool #8 (Blue). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #0 (Orange). arm right: 2. right instrument: Tool #8 (Cyan). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #0 (Orange). arm right: 2. right instrument: Tool #9 (Blue). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #0 (Orange). arm right: 2. right instrument: Tool #9 (Blue). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #0 (Orange). arm right: 2. right instrument: Tool #9 (Green). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #0 (Orange). arm right: 2. right instrument: Tool #9 (Green). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #0 (Orange). arm right: 3. right instrument: Tool #2 (Blue). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #0 (Orange). arm right: 3. right instrument: Tool #9 (Blue). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #0 (Orange). arm right: 3. right instrument: Tool #9 (Cyan). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #0 (Orange). arm right: 3. right instrument: Tool #9 (Green). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #0 (Orange). arm right: 3. right instrument: Tool #9 (Pink). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #0 (Pink). arm right: -1. right instrument: Tool #3 (None). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #0 (Pink). arm right: -1. right instrument: Tool #3 (None). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #0 (Pink). arm right: -1. right instrument: Tool #3 (None). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #0 (Pink). arm right: -1. right instrument: Tool #3 (None). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #0 (Pink). arm right: 0. right instrument: Tool #14 (White). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #0 (Pink). arm right: 0. right instrument: Tool #14 (White). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #0 (Pink). arm right: 0. right instrument: Tool #14 (White). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #0 (Pink). arm right: 2. right instrument: Tool #0 (Green). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #0 (Pink). arm right: 2. right instrument: Tool #2 (Blue). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #0 (Pink). arm right: 2. right instrument: Tool #2 (Cyan). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #0 (Pink). arm right: 2. right instrument: Tool #8 (Blue). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #0 (Pink). arm right: 2. right instrument: Tool #8 (Green). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #0 (Pink). arm right: 2. right instrument: Tool #9 (Blue). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #0 (Pink). arm right: 2. right instrument: Tool #9 (Cyan). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #0 (Pink). arm right: 3. right instrument: Tool #2 (Blue). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #0 (Pink). arm right: 3. right instrument: Tool #2 (Orange). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #0 (Pink). arm right: 3. right instrument: Tool #8 (Blue). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #0 (Pink). arm right: 3. right instrument: Tool #9 (Blue). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #0 (Pink). arm right: 3. right instrument: Tool #9 (Orange). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #0 (Purple). arm right: -1. right instrument: Tool #3 (None). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #0 (Purple). arm right: -1. right instrument: Tool #3 (None). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #0 (Purple). arm right: -1. right instrument: Tool #3 (None). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #0 (Purple). arm right: 0. right instrument: Tool #14 (White). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #0 (Purple). arm right: 0. right instrument: Tool #14 (White). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #0 (Purple). arm right: 0. right instrument: Tool #14 (White). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #0 (Purple). arm right: 0. right instrument: Tool #17 (White). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #0 (Purple). arm right: 2. right instrument: Tool #10 (Blue). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #0 (Purple). arm right: 2. right instrument: Tool #13 (Blue). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #0 (Purple). arm right: 2. right instrument: Tool #18 (Blue). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #0 (Purple). arm right: 2. right instrument: Tool #2 (Blue). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #0 (Purple). arm right: 2. right instrument: Tool #2 (Green). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #0 (Purple). arm right: 2. right instrument: Tool #8 (Blue). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #0 (Purple). arm right: 2. right instrument: Tool #8 (Blue). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #0 (Purple). arm right: 2. right instrument: Tool #8 (Green). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #0 (Purple). arm right: 2. right instrument: Tool #9 (Cyan). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #0 (Purple). arm right: 2. right instrument: Tool #9 (Cyan). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #0 (Purple). arm right: 2. right instrument: Tool #9 (Green). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #1 (Blue). arm right: -1. right instrument: Tool #3 (None). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #1 (Blue). arm right: -1. right instrument: Tool #3 (None). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #1 (Blue). arm right: 0. right instrument: Tool #14 (White). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #1 (Blue). arm right: 2. right instrument: Tool #9 (Cyan). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #1 (Blue). arm right: 3. right instrument: Tool #2 (Green). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #1 (Blue). arm right: 3. right instrument: Tool #9 (Green). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #1 (Cyan). arm right: -1. right instrument: Tool #3 (None). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #1 (Cyan). arm right: -1. right instrument: Tool #3 (None). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #1 (Cyan). arm right: 2. right instrument: Tool #13 (Orange). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #1 (Cyan). arm right: 2. right instrument: Tool #2 (Pink). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #1 (Cyan). arm right: 2. right instrument: Tool #8 (Pink). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #1 (Cyan). arm right: 2. right instrument: Tool #9 (Blue). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #1 (Cyan). arm right: 2. right instrument: Tool #9 (Pink). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #1 (Cyan). arm right: 3. right instrument: Tool #13 (Orange). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #1 (Cyan). arm right: 3. right instrument: Tool #2 (Orange). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #1 (Cyan). arm right: 3. right instrument: Tool #8 (Pink). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #1 (Cyan). arm right: 3. right instrument: Tool #9 (Pink). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #1 (Green). arm right: -1. right instrument: Tool #3 (None). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #1 (Green). arm right: 3. right instrument: Tool #9 (Pink). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #1 (Orange). arm right: -1. right instrument: Tool #3 (None). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #1 (Orange). arm right: -1. right instrument: Tool #3 (None). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #1 (Orange). arm right: 2. right instrument: Tool #0 (Green). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #1 (Orange). arm right: 2. right instrument: Tool #9 (Blue). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #1 (Orange). arm right: 2. right instrument: Tool #9 (Cyan). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #1 (Orange). arm right: 3. right instrument: Tool #9 (Green). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #1 (Orange). arm right: 3. right instrument: Tool #9 (Pink). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #1 (Pink). arm right: -1. right instrument: Tool #3 (None). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #1 (Pink). arm right: -1. right instrument: Tool #3 (None). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #1 (Pink). arm right: 0. right instrument: Tool #14 (White). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #1 (Pink). arm right: 0. right instrument: Tool #17 (White). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #1 (Pink). arm right: 2. right instrument: Tool #9 (Blue). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #1 (Pink). arm right: 3. right instrument: Tool #9 (Orange). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #1 (Purple). arm right: -1. right instrument: Tool #3 (None). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #1 (Purple). arm right: 0. right instrument: Tool #17 (White). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #1 (Purple). arm right: 2. right instrument: Tool #9 (Pink). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #10 (Purple). arm right: -1. right instrument: Tool #3 (None). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #10 (Purple). arm right: 2. right instrument: Tool #0 (Blue). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #12 (Cyan). arm right: -1. right instrument: Tool #3 (None). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #12 (Cyan). arm right: -1. right instrument: Tool #3 (None). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #12 (Cyan). arm right: 2. right instrument: Tool #2 (Orange). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #12 (Cyan). arm right: 2. right instrument: Tool #8 (Purple). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #12 (Cyan). arm right: 2. right instrument: Tool #9 (Orange). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #12 (Cyan). arm right: 3. right instrument: Tool #2 (Pink). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #12 (Cyan). arm right: 3. right instrument: Tool #9 (Pink). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #12 (Green). arm right: -1. right instrument: Tool #3 (None). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #12 (Green). arm right: 2. right instrument: Tool #2 (Pink). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #12 (Green). arm right: 2. right instrument: Tool #9 (Pink). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #12 (Green). arm right: 3. right instrument: Tool #0 (Cyan). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #12 (None). arm right: 3. right instrument: Tool #9 (None). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #12 (Orange). arm right: -1. right instrument: Tool #3 (None). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #12 (Orange). arm right: -1. right instrument: Tool #3 (None). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #12 (Orange). arm right: 0. right instrument: Tool #14 (White). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #12 (Orange). arm right: 0. right instrument: Tool #17 (White). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #12 (Orange). arm right: 0. right instrument: Tool #17 (White). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #12 (Orange). arm right: 2. right instrument: Tool #2 (Cyan). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #12 (Orange). arm right: 2. right instrument: Tool #9 (Blue). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #12 (Orange). arm right: 2. right instrument: Tool #9 (Cyan). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #12 (Orange). arm right: 3. right instrument: Tool #0 (Pink). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #12 (Orange). arm right: 3. right instrument: Tool #9 (Pink). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #12 (Pink). arm right: -1. right instrument: Tool #3 (None). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #12 (Pink). arm right: -1. right instrument: Tool #3 (None). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #12 (Pink). arm right: 0. right instrument: Tool #17 (White). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #12 (Pink). arm right: 2. right instrument: Tool #0 (Purple). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #12 (Pink). arm right: 2. right instrument: Tool #2 (Cyan). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #12 (Pink). arm right: 2. right instrument: Tool #2 (Purple). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #12 (Pink). arm right: 3. right instrument: Tool #0 (Orange). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #13 (Blue). arm right: -1. right instrument: Tool #3 (None). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #13 (Blue). arm right: -1. right instrument: Tool #3 (None). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #13 (Blue). arm right: 0. right instrument: Tool #14 (White). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #13 (Blue). arm right: 0. right instrument: Tool #14 (White). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #13 (Blue). arm right: 2. right instrument: Tool #18 (Purple). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #13 (Blue). arm right: 2. right instrument: Tool #2 (Cyan). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #13 (Blue). arm right: 2. right instrument: Tool #2 (Orange). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #13 (Blue). arm right: 2. right instrument: Tool #8 (Green). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #13 (Blue). arm right: 2. right instrument: Tool #9 (Cyan). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #13 (Blue). arm right: 2. right instrument: Tool #9 (Cyan). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #13 (Blue). arm right: 3. right instrument: Tool #2 (Pink). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #13 (Blue). arm right: 3. right instrument: Tool #8 (Pink). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #13 (Cyan). arm right: -1. right instrument: Tool #3 (None). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #13 (Cyan). arm right: 0. right instrument: Tool #14 (White). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #13 (Cyan). arm right: 2. right instrument: Tool #9 (Blue). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #13 (Green). arm right: -1. right instrument: Tool #3 (None). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #13 (Green). arm right: 0. right instrument: Tool #14 (White). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #13 (Green). arm right: 2. right instrument: Tool #8 (Blue). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #13 (Green). arm right: 2. right instrument: Tool #9 (Blue). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #13 (Green). arm right: 2. right instrument: Tool #9 (Orange). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #13 (Orange). arm right: -1. right instrument: Tool #3 (None). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #13 (Orange). arm right: -1. right instrument: Tool #3 (None). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #13 (Orange). arm right: 0. right instrument: Tool #14 (White). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #13 (Orange). arm right: 0. right instrument: Tool #17 (White). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #13 (Orange). arm right: 2. right instrument: Tool #18 (Blue). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #13 (Orange). arm right: 2. right instrument: Tool #2 (Blue). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #13 (Orange). arm right: 2. right instrument: Tool #2 (Pink). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #13 (Orange). arm right: 2. right instrument: Tool #8 (Blue). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #13 (Orange). arm right: 2. right instrument: Tool #8 (Pink). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #13 (Orange). arm right: 2. right instrument: Tool #9 (Blue). do a cholecystectomy,1,cmr_versius:00
arm left: 1. left instrument: Tool #13 (Purple). arm right: -1. right instrument: Tool #3 (None). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #13 (Purple). arm right: 0. right instrument: Tool #14 (White). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #13 (Purple). arm right: 2. right instrument: Tool #2 (Blue). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #13 (Purple). arm right: 2. right instrument: Tool #2 (Cyan). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #13 (Purple). arm right: 2. right instrument: Tool #9 (Cyan). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #18 (Blue). arm right: -1. right instrument: Tool #3 (None). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #18 (Blue). arm right: -1. right instrument: Tool #3 (None). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #18 (Blue). arm right: -1. right instrument: Tool #3 (None). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #18 (Blue). arm right: 0. right instrument: Tool #14 (White). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #18 (Blue). arm right: 0. right instrument: Tool #14 (White). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #18 (Blue). arm right: 0. right instrument: Tool #17 (White). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #18 (Blue). arm right: 2. right instrument: Tool #0 (Green). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #18 (Blue). arm right: 2. right instrument: Tool #10 (Cyan). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #18 (Blue). arm right: 2. right instrument: Tool #13 (Orange). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #18 (Blue). arm right: 2. right instrument: Tool #2 (Cyan). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #18 (Blue). arm right: 2. right instrument: Tool #2 (Cyan). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #18 (Blue). arm right: 2. right instrument: Tool #2 (Green). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #18 (Blue). arm right: 2. right instrument: Tool #8 (Cyan). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #18 (Blue). arm right: 2. right instrument: Tool #9 (Cyan). do an inguinal hernia repair,1,cmr_versius:02
arm left: 1. left instrument: Tool #18 (Blue). arm right: 2. right instrument: Tool #9 (Green). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #18 (Blue). arm right: 2. right instrument: Tool #9 (Orange). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #18 (Blue). arm right: 2. right instrument: Tool #9 (Orange). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #18 (Blue). arm right: 3. right instrument: Tool #0 (Green). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #18 (Blue). arm right: 3. right instrument: Tool #2 (Green). do a prostatectomy,1,cmr_versius:03
arm left: 1. left instrument: Tool #18 (Blue). arm right: 3. right instrument: Tool #9 (Green). do a hysterectomy,1,cmr_versius:01
arm left: 1. left instrument: Tool #18 (Blue). arm right: 3. right instrument: Tool #9 (Green). do a prostatectomy,1,cmr_versius:03
